,LHipAngles,,,,,,,RHipAngles,,,,,,,LKneeAngles,,,,,,,RKneeAngles,,,,,,,LPelvisAngles,,,,,,,RPelvisAngles,,,,,,,LAnkleAngles,,,,,,,RAnkleAngles,,,,,,
percent cycle,X,std_X,Y,std_Y,Z,std_Z,Split_line,X,std_X,Y,std_Y,Z,std_Z,Split_line,X,std_X,Y,std_Y,Z,std_Z,Split_line,X,std_X,Y,std_Y,Z,std_Z,Split_line,X,std_X,Y,std_Y,Z,std_Z,Split_line,X,std_X,Y,std_Y,Z,std_Z,Split_line,X,std_X,Y,std_Y,Z,std_Z,Split_line,X,std_X,Y,std_Y,Z,std_Z,Split_line
0,34.653684000000005,2.2769882173924394,1.0378081599999995,2.172075437490737,8.509552399999999,1.6999046376541949,35.60205696826629,36.68098823529412,2.0951341071445557,9.058904313725494,2.0556776296997685,21.756239215686268,1.588227499024686,36.70418068200259,12.984839800000001,2.94701242303896,7.791096399999998,0.9520506485618504,-45.244468000000005,2.4394745095975074,35.60205696826629,17.547586274509797,2.3573423717514492,13.01603333333334,1.0664978123704003,-22.270703921568632,1.4217143648703623,36.70418068200259,17.94056,1.1962339015426708,2.5627729000000006,1.0274057727315387,5.929954180000003,3.596740313953443,35.60205696826629,19.232678431372552,1.2420231746620267,3.1251545098039215,0.7176910895318312,-4.0973306274509795,3.143306781548287,36.70418068200259,-12.035663400000002,2.8724160440274735,0.9445696400000003,0.380583403207957,2.451281723999999,2.6734359175276214,35.60205696826629,-2.052863254901961,2.534776110575842,4.375263333333334,0.35714482035792805,-19.266764705882352,2.1365077743211502,36.70418068200259
1,34.07778638383839,2.2837177291027704,1.4193676192929292,2.1367549844132627,8.952523092929296,1.677338577996577,49.958297270205236,36.14692083580907,2.0569150324540373,9.60634156466627,2.0308194449497505,22.216631590413943,1.5700759184083974,50.03999363268315,14.90136908888889,2.9087405256064156,8.796398325252522,1.0818833599672992,-43.54541422222223,2.6798425025031563,49.958297270205236,19.64031388393741,2.340088914670634,13.963024935630814,1.123858177255987,-20.847864507823335,1.4056518706817354,50.03999363268315,17.565879373737367,1.1918956742945437,2.5403539208080805,1.0507717175109181,5.666889870101012,3.629028386391944,49.958297270205236,18.811410695187163,1.2219435103444447,3.118311950881363,0.7071832329913502,-4.413190970093088,3.157003722198821,50.03999363268315,-8.097574151919195,2.783863102734568,1.2855748874747477,0.4004616350207738,0.05500958690100987,2.8146963871121113,49.958297270205236,1.0095425830857598,2.451540402977016,4.694224256288374,0.3549095174134507,-21.134841097246973,2.070683133344114,50.03999363268315
2,33.617991979797985,2.2985485808921444,1.865276970020202,2.0977678595773863,9.355233218181821,1.6525645978398182,86.71967187806258,35.68036900376311,2.0369702616255227,10.229073471974653,2.001474799385295,22.66234921766686,1.5539990935929606,85.59012560787261,17.110245636363633,2.872407332024346,9.709065937373738,1.2005503139610394,-41.8820683030303,3.013700458267851,86.71967187806258,21.99915818974054,2.336545082053737,14.881381996434941,1.1761546112156744,-19.302933234303826,1.3947246721728481,85.59012560787261,17.20693591919192,1.1919189271945634,2.5466519101010108,1.0808828247736149,5.364295730909091,3.652940536835941,86.71967187806258,18.412616240839775,1.2052466328306612,3.1495201841948903,0.7000073261075724,-4.760112999009705,3.1656882422302997,85.59012560787261,-4.146785428525251,2.8741819446292096,1.5943732678787876,0.41084006445666327,-2.1133771148808087,2.8833711157285005,86.71967187806258,4.32285225113884,2.361071157895817,5.011904945533769,0.3445458320964287,-22.952461457714406,1.9591464737948356,85.59012560787261
3,33.25658800000001,2.326521497238908,2.3565515203636354,2.0591617717915027,9.691985187878785,1.6314799339208077,,35.26962228163993,2.032384541494803,10.903511568627453,1.9671420094235128,23.07924058229352,1.532249721848798,,19.478962848484848,2.8157819195428067,10.496239884848485,1.2470657377336847,-40.36885896969697,2.9482307086434294,,24.53907528223411,2.346378212563324,15.750237314319666,1.2231426726545362,-17.699250445632803,1.3923726274614203,,16.871550181818183,1.196953795048365,2.5769402460606057,1.117293738596829,5.028385488484848,3.669142632737919,,18.04284266191325,1.1925303607088689,3.213606013071895,0.6963015199788635,-5.129005550207964,3.1687792197525657,,-0.3423943739393941,2.762906225640557,1.8631613606060606,0.38695114082373755,-3.9980123859393952,2.7087313401080504,,7.7685326417112295,2.257636194149359,5.316266316102198,0.32738384077638255,-24.65334236482472,1.8145047212576246,
4,32.96947377777778,2.37089374477299,2.871708728545454,2.024487175347929,9.94645706060606,1.6221834117081602,,34.898932897603494,2.0408533127121324,11.603032844127554,1.9277028933453335,23.45851356704298,1.5052258233466342,,21.929499838383837,2.786523836198992,11.161659830303034,1.2449179598363753,-38.95519416161618,2.5693266832320205,,27.169192889681124,2.367727655761416,16.554273796791446,1.266630704977725,-16.098853594771246,1.400477288324991,,16.567199717171714,1.2072560699449044,2.625517750707071,1.1591691535352973,4.666183845939393,3.6785435611138166,,17.708214022578723,1.1846887996853823,3.3041324163200634,0.6963280793539278,-5.510444708259063,3.1658782488104236,,3.2526309127272723,2.461275462179795,2.096930274747475,0.33727914155255784,-5.632789962424244,2.352651022797187,,11.22908960784314,2.13829523872281,5.59688393543276,0.305756863533021,-26.184853337294513,1.653218368838603,
5,32.7270376969697,2.4309744703278042,3.3873214610101017,1.9957388769125834,10.110871307070704,1.6313691447640837,,34.54865660526838,2.060114356380219,12.29830487027134,1.8833128764969047,23.796047831253727,1.4769359506980413,,24.413405696969704,2.84838038085004,11.72772224444444,1.2374485717259702,-37.504631131313126,2.2534930634299797,,29.79388328381857,2.395412456644461,17.282774390968513,1.309127395223351,-14.560870409982172,1.4182358639535746,,16.301425979797983,1.222333959363581,2.685854526666667,1.2054076643269642,4.2852793175353545,3.682127872249069,,17.414740562487623,1.1823298406540628,3.4135470033670043,0.7005563471910304,-5.894761600713012,3.156645150893434,,6.6210029783838396,2.149098065997815,2.3060418949494954,0.28608148432807845,-7.089068606060606,1.9861730424516397,,14.589686947910483,2.001238384058093,5.844849758367993,0.28260518004072854,-27.50647835214893,1.4934502984904583,
6,32.486669878787886,2.5019100755970576,3.871617494242423,1.9708126866228182,10.178729636363634,1.654854913644819,,34.18885086155674,2.0882437509310687,12.948128615567443,1.8348543038465828,24.089614913844326,1.4492959211565777,,26.847250060606065,2.9895671913058446,12.200747636363635,1.2375106409167056,-35.91018103030303,2.199537676089023,,32.28375365418895,2.4246560581147243,17.920880689245394,1.3504464045534403,-13.157616280451574,1.4492963612752165,,16.088157878787875,1.2411362380660231,2.7491436981818187,1.254250838550296,3.8948977567272722,3.68015295028262,,17.17423541295306,1.1847853101699362,3.5320857100415926,0.7096257012054957,-6.270031505644681,3.14004228166792,,9.678419018181815,1.913664386103735,2.494038733333333,0.24887818680151813,-8.39016486666667,1.7180834091121322,,17.704839786096255,1.845227750416088,6.04869008318479,0.26097156900544116,-28.56720213903743,1.3526617815339363,
7,32.19462606060606,2.5755105909825025,4.2952112983838395,1.9521993374683042,10.177170236363636,1.6906304410012618,,33.78325094078034,2.1215468723702724,13.514393670033675,1.7848307227178326,24.347485997227178,1.42958654500806,,29.07628456565656,3.144301206692157,12.575402888888888,1.2348455508217897,-34.29770684848484,2.2343284824065837,,34.52129730639731,2.4465184479620867,18.46898423450188,1.3921905373069412,-11.930339801940981,1.478589654377446,,15.931563818181822,1.2629117661177365,2.802167078989899,1.3033726597237851,3.5069004193535345,3.673224606922176,,16.989636482471777,1.1956629521500026,3.6447222994652404,0.7244881503533269,-6.624401691622102,3.117323052100524,,12.318951430303033,1.7613586015497802,2.6566970707070707,0.22394405454511873,-9.508701492929292,1.5371312893295643,,20.480026242820365,1.68466560983218,6.208166385422855,0.24399322822818917,-29.382242226183408,1.2448692965049644,
8,31.808640727272728,2.6399228583692387,4.6403102488888885,1.9404088765652983,10.13562116969697,1.72922770728152,,33.303971479500895,2.155322768377822,13.975197445038624,1.735407450380154,24.579137452960982,1.416917169023111,,30.96659264646465,3.286747725553894,12.839661187878784,1.2282744042663283,-32.85452907070707,2.2932639711582614,,36.4409421865716,2.4522666618724607,18.931980847692614,1.4349439664362882,-10.88855572588631,1.4973034263991447,,15.832050282828282,1.2875864279713034,2.834454425050505,1.3509325303903572,3.131096921212121,3.663423615668007,,16.85913602693603,1.213621773711289,3.739519419687068,0.7460569631765681,-6.951109481877601,3.090313637652162,,14.518545848484854,1.7486567356193505,2.784749460606061,0.21397799175067592,-10.383764674747477,1.4614178286289548,,22.89271132897603,1.5369817776912802,6.327837165775401,0.2320893581454073,-29.98580134680135,1.1695158884233856,
